#	G1:Mov10oe	G1:Mov10oe	G1:Mov10oe	G2:control	G2:control	G2:control
#Feature	mov10oe1	mov10oe2	mov10oe3	ctrl1	ctrl2	ctrl3
AKR1D1	0	0	0	2	0	0
AKR1E2	0	0	0	0	0	0
AKR7A2	1087	988	559	865	813	606
AKR7A2P1	160	170	68	127	109	90
AKR7A3	20	21	9	23	10	9
AKR7L	27	17	16	36	26	19
AKT1	2904	2976	1487	3377	2935	2373
AKT1S1	2534	2496	1141	3243	2721	2090
AKT2	4859	4656	2391	4880	4084	3460
AKT3	4518	4257	2726	3937	3636	2798
AKTIP	276	287	144	288	251	201
ALAD	947	878	481	921	733	600
ALAS1	1778	1781	931	1629	1309	1079
ALAS2	1	0	0	1	0	0
ALB	10	15	6	5	10	5
ALCAM	3730	3035	2261	3122	2501	1818
ALDH16A1	848	891	425	856	671	596
ALDH18A1	4240	3755	2236	4396	3580	2771
ALDH1A1	45	41	22	47	49	38
ALDH1A2	1500	1444	837	1239	1035	838
ALDH1A3	575	567	316	353	286	235
ALDH1B1	1306	1190	664	1496	1222	904
ALDH1L1	50	36	28	11	23	13
ALDH1L2	220	208	115	111	121	87
ALDH2	1466	1488	780	1419	1206	991
ALDH3A1	33	28	11	32	21	18
ALDH3A2	2913	2607	1639	3303	2834	2043
ALDH3B1	10	12	11	2	3	7
ALDH3B2	0	0	0	0	0	0
ALDH4A1	535	517	246	492	397	305
ALDH5A1	1824	1731	1042	1896	1662	1216
ALDH6A1	558	523	306	471	481	338
ALDH7A1	1053	993	579	767	674	598
ALDH8A1	63	54	35	52	51	39
ALDH9A1	2805	2647	1471	2808	2489	1901
ALDOA	21132	21445	10373	21696	18437	15263
ALDOB	0	0	0	0	0	0
ALDOC	628	561	302	710	610	535
ALG1	286	283	138	463	394	307
ALG10	595	541	376	513	467	328
ALG10B	2088	1864	1285	1680	1453	1085
ALG11	222	212	120	225	187	162
ALG12	931	843	457	989	823	661
ALG13	1423	1383	842	1554	1329	1023
ALG14	352	334	187	449	291	269
ALG1L	140	154	62	118	94	89
ALG1L2	0	2	0	0	0	0
ALG2	1314	1154	673	1184	1052	782
ALG3	1080	1087	480	1383	1089	847
ALG5	485	440	255	398	381	267
ALG6	1007	919	605	1005	976	677
ALG8	1545	1377	883	2149	1688	1291
ALG9	1179	1053	626	1278	1107	831
ALK	0	1	0	1	2	1
ALKBH1	704	673	372	763	614	522
ALKBH2	644	616	324	570	464	447
ALKBH3	859	783	482	736	618	498
ALKBH4	493	509	247	594	499	434
ALKBH5	5295	5281	2691	6575	5533	4374
ALKBH6	529	537	267	555	507	336
ALKBH7	367	397	170	372	328	268
ALKBH8	880	725	512	950	855	608
ALLC	6	2	1	2	3	3
ALMS1	1780	1348	987	1507	1401	1010
ALMS1P	9	5	2	4	3	4
ALOX12	0	0	1	1	0	0
ALOX12B	23	29	20	21	20	16
ALOX12P2	1	2	2	0	1	1
ALOX15	6	10	4	2	3	5
