#	G1:Mov10oe	G1:Mov10oe	G1:Mov10oe	G2:control	G2:control	G2:control
#Feature	mov10oe1	mov10oe2	mov10oe3	ctrl1	ctrl2	ctrl3
MIR138-2	0	0	0	0	0	0
MIR139	0	0	0	0	0	0
MIR140	0	0	0	0	0	0
MIR141	0	0	0	0	0	0
MIR142	0	0	0	0	0	0
MIR143	0	0	0	0	0	0
MIR143HG	2	1	2	0	2	1
MIR144	0	0	0	0	0	0
MIR145	0	0	0	0	0	0
MIR1468	0	0	0	0	0	0
MIR1469	2	0	0	4	2	0
MIR146A	0	0	0	0	0	0
MIR146B	0	0	0	0	0	0
MIR1470	0	0	0	0	0	0
MIR1471	0	0	0	0	0	0
MIR147A	0	0	0	0	0	0
MIR147B	0	0	0	0	0	0
MIR148A	0	0	0	0	0	0
MIR148B	0	0	0	0	0	0
MIR149	2	1	0	2	1	1
MIR150	0	0	0	0	0	0
MIR152	0	0	0	0	0	0
MIR153-1	0	0	0	0	0	0
MIR153-2	0	0	0	0	0	0
MIR1537	1	0	0	0	0	0
MIR1538	1	1	0	0	1	0
MIR1539	0	0	0	1	0	0
MIR154	0	0	0	0	0	0
MIR155	0	0	0	0	0	0
MIR155HG	0	0	0	1	0	0
MIR15A	0	1	0	0	0	0
MIR15B	0	0	0	0	0	0
MIR16-1	0	0	0	0	0	0
MIR16-2	0	0	0	0	0	0
MIR17	0	0	0	0	0	0
MIR17HG	2659	2558	1736	2309	1882	1529
MIR181A1	0	0	0	0	0	0
MIR181A2	0	0	0	0	0	0
MIR181A2HG	19	6	9	6	8	8
MIR181B1	0	0	0	0	0	0
MIR181B2	0	0	0	0	0	0
MIR181C	0	1	0	0	0	0
MIR181D	0	0	0	0	0	1
MIR182	0	0	0	0	0	0
MIR1827	0	0	0	0	0	0
MIR183	0	0	0	0	0	0
MIR184	0	0	0	0	0	0
MIR185	0	0	0	0	0	0
MIR186	43	29	26	31	20	12
MIR187	0	0	0	1	0	0
MIR188	0	0	0	0	0	0
MIR18A	0	0	0	0	0	0
MIR18B	0	0	0	0	0	0
MIR1908	1	0	0	0	0	0
MIR1909	0	0	0	0	1	0
MIR190A	0	0	0	0	0	0
MIR190B	0	0	0	0	0	0
MIR191	0	0	0	0	0	0
MIR1910	0	0	0	0	0	0
MIR1911	0	0	0	0	0	0
MIR1912	0	0	0	0	0	0
MIR1913	0	0	0	0	0	0
MIR1914	8	11	7	18	4	16
MIR1915	1	2	1	1	2	1
MIR192	0	0	0	1	0	0
MIR193A	0	0	0	0	0	0
MIR193B	0	0	0	0	0	0
MIR194-1	0	0	0	0	0	0
MIR194-2	0	0	0	0	0	0
MIR195	0	0	0	0	0	0
MIR196A1	4	6	4	5	6	5
MIR196A2	0	0	0	0	0	0
MIR196B	1	0	4	2	0	0
MIR197	0	0	0	1	0	0
MIR1972-1	0	0	0	0	0	0
MIR1972-2	0	0	0	0	0	0
MIR1973	0	1	0	0	0	0
MIR1976	0	0	0	0	0	0
MIR198	0	0	0	0	0	0
MIR199A1	0	0	0	0	0	0
MIR199A2	0	0	0	0	0	0
MIR199B	0	0	0	0	0	0
MIR19A	0	0	0	0	0	0
MIR19B1	0	0	0	0	0	0
MIR19B2	0	0	0	0	0	0
MIR200A	0	0	0	0	0	0
MIR200B	0	0	0	0	0	0
MIR200C	0	0	0	0	0	0
MIR202	0	0	0	0	0	0
MIR203	0	0	0	0	0	0
MIR204	0	0	0	0	0	0
MIR205	0	0	0	0	0	0
MIR2052	1	0	0	0	0	0
MIR2053	0	0	0	0	0	0
MIR2054	0	0	0	0	0	0
MIR205HG	0	0	0	0	0	0
MIR206	0	0	0	0	0	0
MIR208A	0	0	0	0	0	0
MIR208B	0	0	0	0	0	0
MIR20A	0	0	0	0	0	0
MIR20B	0	0	0	0	0	0
MIR21	0	0	2	0	0	0
MIR210	2	2	2	3	1	4
MIR210HG	318	332	156	213	207	160
MIR211	0	0	0	0	0	0
MIR2110	0	0	0	0	0	0
MIR2113	0	0	0	0	0	0
MIR2114	0	0	0	0	0	0
MIR2116	0	1	0	0	1	1
MIR2117	0	0	0	0	0	0
MIR212	0	0	0	0	0	0
MIR214	0	0	0	0	0	0
MIR215	0	0	0	0	0	0
MIR216A	0	0	0	0	0	0
MIR216B	0	0	0	0	0	0
MIR217	0	0	0	0	0	0
MIR218-1	0	0	0	0	0	0
MIR218-2	0	0	0	0	0	0
MIR219-1	1	0	0	0	0	0
MIR219-2	0	0	0	0	0	0
MIR22	0	0	0	0	0	0
MIR221	16	14	12	9	8	9
MIR222	0	0	0	0	0	0
MIR223	0	0	0	0	0	0
MIR2276	0	0	0	0	0	0
MIR2277	0	0	0	0	0	0
MIR2278	0	0	0	0	0	0
MIR22HG	103	105	57	153	108	99
MIR2355	0	0	0	0	0	0
MIR2392	0	0	0	0	0	0
MIR23A	0	0	0	0	0	0
MIR23B	0	0	0	0	0	0
MIR23C	0	1	0	0	0	0
MIR24-1	1	0	0	1	0	0
MIR24-2	0	0	0	0	0	0
MIR2467	0	0	0	0	0	0
MIR25	19	20	16	17	16	12
MIR2681	0	0	0	0	0	0
MIR2682	0	0	0	0	0	0
MIR26A1	0	0	0	0	0	0
MIR26A2	1	0	0	0	0	0
MIR26B	1	0	0	0	0	0
MIR27A	0	0	0	0	0	0
MIR27B	0	1	0	0	0	1
MIR2861	0	1	0	0	0	1
MIR2909	1	0	0	0	0	0
MIR296	0	0	0	0	1	0
MIR2964A	0	0	0	0	0	0
MIR298	1	0	0	0	0	0
MIR299	0	0	0	0	0	0
MIR29A	0	0	0	0	0	0
MIR29B1	0	0	0	0	0	0
MIR29B2	0	0	0	0	0	1
MIR29C	0	1	1	1	2	0
MIR300	0	0	0	0	0	0
MIR301A	0	0	0	0	0	0
MIR301B	0	0	0	0	0	0
MIR302A	0	0	0	0	0	0
MIR302B	0	0	0	0	0	0
MIR302C	0	0	0	0	0	0
MIR302D	0	0	0	0	0	0
MIR302F	0	0	0	0	0	0
MIR3064	462	419	168	338	270	214
MIR3065	0	0	0	0	0	0
MIR3074	0	0	0	0	0	0
MIR30A	0	0	0	0	0	0
MIR30B	0	0	0	0	0	0
MIR30C1	0	0	0	0	0	0
MIR30C2	0	0	0	1	2	0
MIR30D	0	0	0	0	0	0
MIR30E	0	0	0	0	0	0
MIR31	0	0	0	0	0	0
MIR3115	0	0	0	0	0	0
MIR3117	0	0	0	0	0	0
MIR3119-1	0	0	0	0	0	0
MIR3119-2	0	0	0	0	0	0
MIR3120	0	0	0	0	0	0
MIR3121	0	0	0	0	0	0
MIR3122	1	3	0	0	0	0
MIR3123	0	0	0	0	0	0
MIR3124	0	0	0	2	0	0
MIR3125	1	0	0	0	0	0
MIR3126	0	0	0	0	0	1
MIR3127	2	1	1	1	0	1
MIR3128	0	0	0	0	0	0
MIR3129	0	0	0	0	0	0
MIR3130-1	0	0	0	0	0	0
MIR3130-2	0	0	0	0	0	0
MIR3131	0	0	0	0	0	0
MIR3132	1	0	1	0	0	0
MIR3134	0	0	0	0	0	0
MIR3136	4	1	4	2	2	1
MIR3138	0	1	1	1	2	0
MIR3140	0	0	0	0	0	0
MIR3141	0	0	0	0	0	0
MIR3142	0	0	0	0	0	0
MIR3143	4	9	5	3	1	2
MIR3145	0	0	0	0	0	0
MIR3146	1	3	0	0	0	2
MIR3147	0	0	0	0	0	0
MIR3148	0	0	0	0	0	0
MIR3150A	0	0	0	0	0	0
MIR3150B	0	0	0	0	0	0
MIR3151	0	0	0	0	0	0
MIR3152	0	0	0	0	0	0
MIR3153	16	25	13	13	18	18
MIR3154	0	0	0	0	0	0
MIR3155A	0	0	0	0	0	0
MIR3155B	0	0	0	0	0	0
MIR3156-1	0	0	0	0	0	0
MIR3156-2	0	0	0	0	0	0
MIR3156-3	0	0	0	0	0	0
MIR3157	0	0	0	0	0	0
MIR3158-1	0	0	0	0	0	0
MIR3158-2	0	0	0	0	0	0
MIR3160-1	0	0	0	0	0	1
MIR3160-2	0	0	0	0	0	0
MIR3162	0	0	0	0	0	0
MIR3165	0	0	0	0	0	0
MIR3167	0	0	0	0	0	0
MIR3169	0	0	0	0	0	0
MIR3170	0	0	0	0	0	0
MIR3173	0	0	0	0	0	0
MIR3175	0	0	0	0	0	0
MIR3176	23	20	8	25	21	14
MIR3177	0	0	1	0	0	0
MIR3178	0	0	0	0	0	0
MIR3179-1	0	0	0	0	0	0
MIR3179-2	0	0	0	0	0	0
MIR3179-3	0	0	0	0	0	0
MIR3180-1	0	0	0	0	0	0
MIR3180-2	0	0	0	0	0	0
MIR3180-3	0	0	0	0	0	0
MIR3180-4	0	0	0	0	1	0
MIR3180-5	0	0	0	0	0	0
MIR3182	0	0	0	0	0	0
MIR3183	0	0	0	0	0	0
MIR3184	1	1	0	1	0	0
MIR3185	2	1	0	2	0	0
MIR3186	0	0	0	0	0	0
MIR3187	0	1	0	0	0	0
MIR3188	2	4	2	0	0	1
MIR3189	0	1	2	0	0	0
MIR3190	1	2	0	0	3	0
MIR3191	19	22	17	17	19	18
MIR3192	1	1	1	0	2	0
MIR3193	0	0	0	0	0	0
MIR3194	0	0	0	0	0	0
MIR3196	0	0	0	0	0	0
MIR3197	0	0	0	0	0	0
MIR3198-1	1	1	0	0	0	0
MIR3198-2	0	0	0	0	0	0
MIR3199-1	0	0	0	0	0	0
MIR3199-2	0	0	0	0	0	0
MIR31HG	28	19	7	19	24	18
MIR32	0	0	0	0	0	0
MIR3200	0	0	0	0	0	0
MIR3201	0	0	0	0	0	0
MIR3202-1	0	1	0	1	2	1
MIR3202-2	0	0	0	0	0	0
MIR320A	1	0	0	1	2	0
MIR320B1	0	0	0	0	0	0
MIR320B2	3	0	1	0	0	0
MIR320C1	0	0	0	0	0	0
MIR320C2	0	0	0	0	0	0
MIR320D1	0	0	0	0	0	1
MIR320D2	0	0	0	0	0	0
MIR320E	4	0	1	3	1	1
MIR323A	0	0	0	0	0	0
MIR323B	0	0	0	0	0	0
MIR324	0	0	0	0	0	0
MIR326	0	0	0	0	0	0
MIR328	0	0	0	0	0	0
MIR329-1	0	0	0	0	0	0
MIR329-2	0	0	0	0	0	0
MIR330	0	0	0	0	0	0
MIR331	3	1	0	1	1	0
MIR335	0	0	0	0	0	0
MIR337	0	0	0	0	0	0
MIR338	0	0	0	0	0	0
MIR339	1	1	0	0	0	2
MIR33A	0	0	0	0	0	0
MIR33B	0	0	0	0	0	0
MIR340	0	0	0	0	0	0
MIR345	0	1	0	0	0	0
MIR346	0	0	0	0	0	0
MIR34A	1	1	0	0	0	0
MIR34B	0	0	0	0	0	0
MIR34C	0	0	0	0	0	0
MIR3529	0	0	0	0	0	0
MIR3545	0	0	0	0	0	0
MIR3591	0	0	0	0	0	0
MIR3605	1	1	0	1	0	3
MIR3606	0	0	0	0	0	0
MIR3607	18	10	8	15	7	3
MIR3609	0	1	0	0	0	0
MIR3610	0	0	0	0	0	0
MIR3612	0	0	0	0	0	0
MIR3613	2	0	1	0	0	0
MIR3614	0	0	0	0	0	0
MIR3615	0	0	0	0	0	0
MIR3616	0	0	0	0	0	0
MIR3618	0	0	0	0	0	0
MIR3619	0	0	0	0	0	0
MIR362	0	0	0	0	0	0
MIR3620	0	0	0	0	0	0
MIR3621	0	0	0	0	0	0
MIR3622A	0	0	0	0	0	0
MIR3622B	0	0	0	0	0	0
MIR363	0	0	0	0	0	0
MIR3646	0	0	0	0	0	0
MIR3648	18	22	4	26	24	10
MIR3649	0	0	0	0	0	0
MIR3650	0	0	0	0	0	0
MIR3651	1	0	0	2	3	1
MIR3652	0	0	0	0	0	0
MIR3653	6	8	7	13	18	14
MIR3654	0	0	0	0	0	0
MIR3655	2	1	1	1	1	2
MIR3656	0	1	0	0	0	0
MIR3658	0	0	0	0	0	0
MIR3659	0	0	0	0	0	0
MIR365A	0	0	0	0	0	0
MIR365B	0	0	0	0	0	0
MIR3660	0	0	0	0	0	0
MIR3661	0	1	1	0	2	1
MIR3662	3	9	3	0	2	4
MIR3663	0	1	0	0	0	0
MIR3664	0	0	0	0	0	0
MIR3665	0	0	0	0	0	0
MIR3666	0	0	0	0	0	0
MIR3668	0	0	0	0	0	0
MIR367	0	0	0	0	0	0
MIR3671	9	7	2	4	10	6
MIR3675	0	0	0	0	0	0
MIR3676	0	0	0	0	0	0
MIR3677	1	2	1	3	2	1
MIR3678	0	0	1	0	0	0
MIR3679	0	0	1	0	0	0
MIR3680-1	0	0	0	0	0	0
MIR3682	3	3	3	8	3	0
MIR3684	0	0	0	0	0	0
MIR3685	28	23	20	23	14	15
MIR3687	9	5	3	16	10	6
MIR3688-1	0	0	0	0	0	0
MIR3688-2	0	0	0	0	0	0
MIR3689A	0	0	0	0	0	0
MIR3689B	0	0	0	0	0	0
MIR3689C	0	0	0	0	0	0
MIR3689D1	0	0	0	0	0	0
MIR3689D2	0	0	0	0	0	0
MIR3689E	0	0	0	0	0	0
MIR3689F	0	0	0	0	0	0
MIR369	0	0	0	0	0	0
MIR3690	0	0	0	0	0	0
MIR3691	0	0	0	0	0	0
MIR3692	0	0	0	0	0	0
MIR3714	0	0	0	0	0	0
MIR371A	0	0	0	0	0	0
MIR371B	0	0	0	0	0	0
MIR372	0	0	0	0	0	0
MIR373	0	0	0	0	0	0
MIR374A	0	0	0	0	0	0
MIR374B	0	1	1	0	1	0
MIR374C	0	0	0	0	0	0
MIR375	0	0	0	0	0	0
MIR376A1	0	0	0	0	0	0
MIR376A2	0	0	0	0	0	0
MIR376B	0	0	0	0	0	0
MIR376C	0	0	0	0	0	0
MIR377	0	0	0	0	0	0
MIR378C	0	0	0	0	0	0
MIR378D1	0	0	0	0	0	0
MIR378D2	0	1	1	0	0	0
MIR378E	0	0	0	0	0	0
MIR378F	0	0	0	0	0	0
MIR379	0	0	0	0	0	0
MIR380	0	0	0	0	0	0
MIR381	0	0	0	0	0	0
MIR382	0	0	0	0	0	0
MIR383	0	0	0	0	0	0
MIR384	0	0	0	0	0	0
MIR3907	0	0	0	0	0	0
MIR3908	0	0	0	0	0	0
MIR3909	0	0	0	0	0	1
MIR3910-1	0	0	0	0	0	0
MIR3910-2	0	0	0	0	0	0
MIR3911	6	5	2	3	2	1
MIR3912	1	2	2	0	0	0
MIR3913-1	0	0	0	0	0	0
MIR3913-2	0	0	0	0	0	0
MIR3914-1	0	0	0	0	0	0
MIR3914-2	0	0	0	0	0	0
MIR3916	17	10	11	15	11	10
MIR3917	0	0	0	0	0	0
MIR3918	0	0	0	0	0	0
MIR3919	0	0	0	0	0	0
MIR3920	0	0	0	0	0	0
MIR3921	0	0	0	0	0	0
MIR3922	0	0	0	0	0	0
MIR3924	0	0	0	0	0	0
MIR3925	0	0	0	0	0	0
MIR3926-1	0	0	0	0	0	0
MIR3926-2	0	0	0	0	0	0
MIR3928	0	0	0	0	0	0
MIR3935	0	0	0	0	0	0
MIR3936	14	12	12	15	11	7
MIR3938	0	0	0	0	0	0
MIR3939	4	2	1	4	5	4
MIR3940	0	0	0	1	0	0
MIR3941	0	0	1	0	0	0
MIR3942	0	6	4	5	4	2
MIR3943	0	0	0	0	0	0
MIR3944	4	0	1	1	1	3
MIR3945	0	0	0	0	0	0
MIR3960	0	4	1	1	1	1
MIR3973	0	0	0	0	0	0
MIR3974	0	0	0	0	0	0
MIR3975	1	0	0	0	0	0
MIR3976	0	0	0	0	0	0
MIR3977	0	0	0	0	0	0
MIR3978	0	0	0	0	0	0
MIR409	0	0	0	0	0	0
MIR410	0	0	0	0	0	0
MIR411	0	0	0	0	0	0
MIR412	0	0	0	0	0	0
MIR421	0	2	0	1	0	2
MIR423	0	1	0	0	0	1
MIR424	0	0	0	0	0	0
MIR425	0	0	0	0	1	0
MIR4251	0	0	0	0	0	0
MIR4252	0	0	0	0	0	0
MIR4253	0	0	0	0	0	0
MIR4254	1	0	0	0	0	0
MIR4255	0	0	0	0	0	0
MIR4256	0	0	0	0	0	0
MIR4257	1	0	0	1	0	0
MIR4258	14	10	7	3	6	5
MIR4260	0	0	0	0	0	0
MIR4261	0	0	0	0	0	0
MIR4262	0	0	0	0	0	0
MIR4263	3	1	0	2	0	0
MIR4264	0	0	0	0	0	0
MIR4265	0	0	0	0	0	0
MIR4266	0	0	0	0	0	0
MIR4267	0	0	0	0	0	0
MIR4268	0	0	0	0	0	0
MIR4269	0	0	0	0	0	0
MIR4270	0	0	0	0	0	0
MIR4271	0	0	0	0	0	0
MIR4272	0	0	0	0	0	0
MIR4273	0	0	0	0	0	0
MIR4274	0	0	0	0	0	0
MIR4275	0	0	0	0	0	0
MIR4276	0	0	0	0	0	0
MIR4277	0	0	0	0	0	0
MIR4278	0	0	0	0	0	0
MIR4279	0	0	0	0	0	0
MIR4280	0	0	0	0	0	0
MIR4281	0	0	0	0	0	0
MIR4282	0	0	0	0	0	0
MIR4283-1	0	0	0	0	0	0
MIR4283-2	0	0	0	0	0	0
MIR4284	0	0	0	0	0	0
MIR4285	0	0	0	1	0	1
MIR4287	0	0	0	0	0	0
MIR4288	0	0	0	0	0	0
MIR4289	0	0	0	0	0	0
MIR429	0	0	0	0	0	0
MIR4290	0	0	0	0	0	0
MIR4291	0	0	0	0	0	0
MIR4292	12	15	14	15	15	14
MIR4294	0	0	0	0	0	0
MIR4295	0	0	0	0	0	0
MIR4296	0	0	0	0	0	0
MIR4297	0	0	0	0	0	0
MIR4298	0	0	0	0	0	0
MIR4299	0	0	0	0	0	0
MIR4300	0	0	0	0	0	0
MIR4301	0	0	0	0	0	0
MIR4302	0	0	0	0	0	0
MIR4303	0	0	0	0	0	0
MIR4304	0	0	0	0	0	0
MIR4305	0	0	0	0	0	0
MIR4306	0	0	0	0	0	0
MIR4307	0	0	0	0	0	0
MIR4308	0	0	0	0	0	0
MIR4309	0	0	0	0	0	0
MIR431	0	0	0	0	0	0
MIR4310	0	0	0	0	0	0
MIR4311	0	0	0	0	0	0
MIR4312	2	0	0	0	0	0
MIR4313	0	1	0	0	0	0
MIR4314	0	0	0	0	0	0
MIR4315-1	0	0	0	0	0	0
MIR4315-2	0	0	0	0	0	0
MIR4316	0	0	0	0	0	0
MIR4317	0	0	0	0	0	0
MIR4318	0	0	0	0	0	0
MIR4319	0	0	0	0	0	0
MIR432	0	0	0	0	0	0
MIR4320	0	0	0	0	0	0
MIR4321	38	35	13	50	33	38
MIR4322	0	0	1	0	0	0
MIR4323	0	0	0	0	0	0
MIR4324	2	2	2	1	1	1
MIR4325	0	0	0	0	0	0
MIR4326	4	2	0	0	0	1
MIR4327	0	0	0	0	0	0
MIR4328	0	0	0	0	0	0
MIR4329	1	2	0	0	1	2
MIR433	0	0	0	0	0	0
MIR4330	0	0	0	0	0	0
MIR4417	0	0	0	0	0	0
MIR4420	0	0	0	0	0	0
MIR4422	0	0	0	0	0	0
MIR4423	0	0	0	0	0	0
MIR4424	0	0	0	0	0	0
MIR4426	0	0	0	0	0	0
MIR4427	0	0	1	0	0	0
MIR4429	0	0	0	0	0	0
MIR4432	0	0	0	0	0	0
MIR4434	0	0	0	1	0	0
MIR4435-1	0	0	0	0	0	0
MIR4435-2	0	0	0	0	0	0
MIR4436A	0	0	0	0	0	0
MIR4436B1	0	0	0	0	0	0
MIR4437	0	0	0	0	0	0
MIR4439	0	0	0	0	0	0
MIR4440	0	0	0	0	0	0
MIR4441	0	0	0	0	0	0
MIR4442	5	7	3	7	3	7
MIR4443	0	0	0	0	0	0
MIR4444-1	113	116	100	151	131	116
MIR4446	0	0	0	0	0	0
MIR4449	5	4	0	1	1	3
MIR4450	0	0	0	0	0	0
MIR4451	0	0	0	0	0	0
MIR4453	0	0	0	0	0	0
MIR4454	0	0	0	0	0	0
MIR4456	0	0	0	0	0	0
MIR4457	0	0	0	0	0	0
MIR4458	0	0	0	0	0	0
MIR4460	0	0	0	0	0	0
MIR4461	0	0	0	0	1	1
MIR4462	0	0	0	0	0	0
MIR4464	0	0	0	0	0	0
MIR4465	0	0	0	0	0	0
MIR4466	0	0	0	0	0	0
MIR4467	5	7	0	5	3	2
MIR4468	0	0	0	0	0	0
MIR4469	0	1	0	1	0	0
MIR4470	0	0	0	0	0	0
MIR4471	0	0	0	0	0	0
MIR4472-1	0	0	0	0	0	0
MIR4472-2	0	0	0	0	0	0
MIR4473	0	0	0	0	0	0
MIR4474	0	0	0	0	0	0
MIR4475	0	0	0	0	0	0
MIR4476	0	0	0	0	0	0
MIR4478	0	0	0	0	0	0
MIR4479	1	3	1	0	1	3
MIR448	0	0	0	0	0	0
MIR4480	0	0	0	0	0	0
MIR4482-1	4	5	1	8	2	6
MIR4483	0	0	0	0	0	0
MIR4484	0	0	0	0	0	0
MIR4485	0	0	0	0	0	0
MIR4486	0	0	0	0	0	0
MIR4488	0	0	0	0	0	0
MIR4489	0	0	1	0	0	1
MIR4490	0	0	0	0	0	0
MIR4491	0	0	0	0	0	0
MIR4492	0	0	0	0	0	0
MIR4493	0	0	0	0	0	0
MIR4497	0	0	0	0	0	0
MIR4498	0	0	0	0	0	0
MIR4499	0	0	0	0	0	0
MIR449A	0	0	0	0	0	0
MIR449B	0	0	0	0	0	0
MIR449C	0	0	0	0	0	0
MIR4500	0	0	0	0	0	0
MIR4500HG	12	13	5	7	3	4
MIR4503	0	0	0	0	0	0
MIR4505	0	0	0	0	0	0
MIR4508	0	0	0	0	0	0
MIR4509-1	0	0	0	0	0	0
MIR4509-2	0	0	0	0	0	0
MIR4509-3	0	0	0	0	0	0
MIR450A1	0	0	0	0	0	0
MIR450A2	0	0	0	0	0	0
MIR450B	0	0	0	0	0	0
MIR4510	0	0	0	0	0	0
MIR4511	0	0	0	0	0	0
MIR4513	0	0	0	0	0	0
MIR4514	2	0	0	0	0	0
MIR4515	0	1	0	0	0	0
MIR4516	0	0	0	0	0	0
MIR4517	30	32	17	24	21	20
MIR4518	0	0	0	0	0	0
MIR4519	0	0	0	0	0	0
MIR451A	0	0	0	0	0	0
MIR451B	0	0	0	0	0	0
MIR452	0	0	0	0	0	0
MIR4520A	0	0	0	0	0	0
MIR4520B	0	4	2	3	1	2
MIR4521	0	0	0	0	0	0
MIR4522	0	0	0	0	0	0
MIR4523	37	29	7	29	21	22
MIR4524A	0	0	1	0	0	0
MIR4526	0	0	0	0	0	0
MIR4529	0	0	0	0	0	0
MIR4530	0	0	0	0	1	0
MIR4531	0	0	0	0	0	0
MIR4532	0	0	0	0	0	0
MIR4533	0	0	0	0	0	0
MIR4534	0	2	0	0	0	0
MIR4535	0	0	0	0	0	0
MIR4536-1	0	0	0	0	0	0
MIR454	0	0	0	0	0	0
MIR4540	0	0	0	0	0	0
MIR455	0	0	0	0	0	0
MIR4632	0	0	0	0	0	0
MIR4633	1	0	0	0	1	0
MIR4634	0	0	0	1	0	0
MIR4635	1	0	0	0	0	0
MIR4636	0	0	0	0	0	0
MIR4637	0	0	0	0	0	0
MIR4638	0	0	0	0	0	0
MIR4639	3	1	0	2	0	1
MIR4640	0	1	0	0	0	0
MIR4641	0	0	0	0	0	0
MIR4642	0	0	1	2	0	0
MIR4643	0	0	0	0	0	0
MIR4644	1	0	2	1	0	0
MIR4645	0	0	0	0	0	0
MIR4646	0	0	0	0	0	0
MIR4647	0	0	0	0	0	0
MIR4648	0	0	0	0	1	0
MIR4649	0	0	0	0	0	0
MIR4650-1	0	0	0	0	0	0
MIR4650-2	0	0	0	0	0	0
MIR4651	0	0	0	0	0	0
MIR4652	0	0	0	0	0	0
MIR4653	2	2	1	4	1	3
MIR4654	0	0	0	0	0	0
MIR4655	0	0	0	0	0	0
MIR4656	0	0	0	0	0	0
MIR4657	0	0	0	0	0	0
MIR4658	1	0	1	0	1	0
MIR4659A	0	0	0	1	0	0
MIR4659B	0	0	0	0	0	0
MIR4660	0	0	0	0	0	0
MIR4661	0	0	0	0	0	0
MIR4663	0	0	0	0	0	0
MIR4664	24	26	8	30	31	19
MIR4665	0	0	0	2	0	0
MIR4666A	19	7	3	6	3	3
MIR4667	0	0	0	0	1	1
MIR4668	0	0	0	0	0	0
MIR4669	0	0	0	0	0	0
MIR4670	0	0	0	0	0	0
MIR4671	0	0	0	0	0	0
MIR4672	0	2	1	1	0	0
MIR4673	0	0	0	0	0	0
MIR4674	0	0	0	0	0	0
MIR4675	0	0	0	0	0	0
MIR4676	0	0	0	0	0	0
MIR4677	4	0	3	1	0	0
MIR4678	0	0	0	0	0	0
MIR4679-1	0	0	0	0	0	0
MIR4679-2	0	0	0	0	0	0
MIR4680	0	0	0	0	0	0
MIR4681	0	0	0	0	0	0
MIR4682	0	0	0	0	0	0
MIR4683	0	0	0	0	0	0
MIR4684	0	0	0	0	0	0
MIR4685	3	1	0	1	0	0
MIR4686	0	0	0	0	0	0
MIR4687	0	0	0	0	0	0
MIR4688	0	0	0	0	0	0
MIR4689	0	0	0	2	0	0
MIR4690	0	0	0	0	0	0
MIR4691	15	6	10	20	23	10
MIR4692	0	0	0	0	0	0
MIR4693	0	0	0	0	0	0
MIR4694	0	0	0	0	0	0
MIR4695	0	0	0	0	0	0
MIR4696	0	0	0	0	0	0
MIR4697	0	0	0	0	0	0
MIR4698	0	0	0	0	0	0
MIR4699	0	0	0	0	0	0
MIR4700	0	0	0	0	0	0
MIR4701	0	4	2	1	0	0
MIR4703	0	0	0	0	0	0
MIR4705	0	0	0	0	0	0
MIR4706	0	1	0	0	1	0
MIR4707	0	0	0	0	0	0
MIR4708	0	0	0	0	0	0
MIR4709	0	0	0	0	0	0
MIR4710	0	0	0	0	0	0
MIR4711	0	0	0	0	0	0
MIR4712	71	61	41	58	53	34
MIR4713	0	0	0	0	0	0
MIR4714	0	0	0	0	0	0
MIR4715	0	0	0	0	0	0
MIR4716	0	0	0	0	0	0
MIR4717	0	0	0	0	0	0
MIR4718	0	0	0	0	0	0
MIR4719	0	0	0	0	0	0
MIR4720	6	7	4	5	2	4
MIR4721	1	1	0	1	1	1
MIR4722	0	0	0	1	0	0
MIR4723	1	1	0	2	2	0
MIR4724	0	0	0	0	0	0
MIR4725	0	0	0	0	0	0
MIR4726	0	0	0	0	0	0
MIR4727	0	0	0	0	0	1
MIR4728	1	1	1	0	0	0
MIR4729	0	0	0	0	0	0
MIR4730	5	6	1	3	1	2
MIR4731	0	0	0	0	0	0
MIR4732	0	0	0	0	0	0
MIR4733	2	4	3	2	2	1
MIR4734	0	0	0	0	0	0
MIR4735	0	0	0	0	0	0
MIR4736	0	0	0	0	0	0
MIR4737	17	20	9	22	24	17
MIR4738	2	0	0	1	3	0
MIR4739	0	0	0	0	0	0
MIR4740	0	0	0	0	0	0
MIR4741	0	0	0	0	0	0
MIR4742	1	3	5	3	1	2
MIR4743	0	0	0	0	0	0
MIR4744	0	0	0	0	0	0
MIR4745	1	1	1	0	1	0
MIR4746	2	1	2	6	1	0
MIR4747	0	0	0	0	0	0
MIR4748	0	0	0	0	0	0
MIR4749	0	1	0	0	0	0
MIR4750	0	0	0	0	0	2
MIR4751	0	0	0	0	0	0
MIR4752	0	0	0	0	0	0
MIR4753	0	0	0	0	0	0
MIR4754	0	0	0	0	0	0
MIR4755	0	0	0	0	0	0
MIR4756	0	0	0	0	0	0
MIR4757	0	1	0	0	0	0
MIR4758	0	0	0	0	0	0
MIR4759	0	0	0	0	0	0
MIR4760	0	0	0	0	0	0
MIR4761	1	0	1	0	0	1
MIR4762	0	0	0	0	0	0
MIR4763	0	0	0	0	0	0
MIR4764	0	0	0	0	0	0
MIR4765	0	0	0	0	0	0
MIR4766	4	2	1	1	1	2
MIR4767	1	4	0	5	3	1
MIR4768	0	0	0	0	0	0
MIR4769	0	0	0	0	0	0
MIR4770	0	0	0	0	0	0
MIR4772	0	0	0	0	0	0
MIR4773-1	0	0	0	0	0	0
MIR4773-2	0	0	0	0	0	0
MIR4774	0	0	0	0	0	0
MIR4775	0	0	0	0	0	0
